ParkingGeohash,AvgLatitude,AvgLongitude,City,County,State,Country,ISO_3166_2,AvgTimeToPark,AvgTimeToParkRatio,TotalSearching,PercentSearching,AvgUniqueGeohashes,AvgTotalGeohashes,CirclingDistribution,HourlyDistribution,PercentCar,PercentMPV,PercentLDT,PercentMDT,PercentHDT,PercentOther,UpdateDate,Version
dphgkpu,39.98967,-83.13805,Columbus,Franklin,Ohio,United States of America,US-OH,2.24,1.0513,5,0.2174,5.2,7.4,"{""dphgkpg"":0.4375, ""dphgkpt"":0.0707, ""dphgs0j"":0.0723, ""dphgs0h"":0.0973, ""dphgkpv"":0.1157, ""dphgkpu"":0.2065}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": 0.25, ""06"": null, ""07"": null, ""08"": 0.25, ""09"": null, ""10"": null, ""11"": 0.25, ""12"": null, ""13"": null, ""14"": 0.25, ""15"": null, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0.2,0,0,0.8,2018-05-02,1.1
dphurf4,40.1339,-82.97665,Columbus,Franklin,Ohio,United States of America,US-OH,5.78,1.5863,5,0.1042,5,8,"{""dphurf1"":0.1536, ""dphurf7"":0.0582, ""dphurf3"":0.0758, ""dphurf4"":0.3382, ""dphurf6"":0.0786, ""dphurcc"":0.2932, ""dphurf5"":0.0023}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": null, ""08"": null, ""09"": 0.25, ""10"": null, ""11"": null, ""12"": null, ""13"": 0.25, ""14"": null, ""15"": null, ""16"": 0.25, ""17"": 0.25, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0.2,0.2,0,0.6,0,2018-05-02,1.1
dpj5937,39.99827,-82.90899,Columbus,Franklin,Ohio,United States of America,US-OH,4.18,1.4196,5,0.3571,5.2,7.6,"{""dpj5936"":0.1776, ""dpj593d"":0.0686, ""dpj593s"":0.0752, ""dpj593k"":0.2872, ""dpj593e"":0.0815, ""dpj5937"":0.3099}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": 0.25, ""05"": 0.25, ""06"": 0.25, ""07"": null, ""08"": null, ""09"": 0.25, ""10"": null, ""11"": null, ""12"": null, ""13"": null, ""14"": null, ""15"": null, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0.6,0.2,0,0,0.2,2018-05-02,1.1
dphgr5x,39.96596,-83.00221,Columbus,Franklin,Ohio,United States of America,US-OH,7.33,1.9966,5,0.0909,6.2,9.8,"{""dphgr7b"":0.0481, ""dphgr5w"":0.0942, ""dphgr5z"":0.1202, ""dphgr78"":0.0895, ""dphgr5q"":0.1055, ""dphgr5x"":0.2917, ""dphgr5y"":0.1242, ""dphgr72"":0.0871, ""dphgr5r"":0.0395}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": 0.2, ""08"": null, ""09"": null, ""10"": 0.2, ""11"": null, ""12"": null, ""13"": null, ""14"": null, ""15"": 0.2, ""16"": null, ""17"": null, ""18"": 0.2, ""19"": null, ""20"": 0.2, ""21"": null, ""22"": null, ""23"": null}",0,0.4,0.4,0,0,0.2,2018-05-02,1.1
dphgwb4,39.99123,-83.02013,Columbus,Franklin,Ohio,United States of America,US-OH,5.5933,3.2629,5,0.0071,4.2,6.4,"{""dphgwb4"":0.4306, ""dphgwb3"":0.1479, ""dphgwb6"":0.1849, ""dphgwb5"":0.1153, ""dphgwb1"":0.1213}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": 0.2, ""07"": null, ""08"": null, ""09"": null, ""10"": null, ""11"": 0.2, ""12"": null, ""13"": null, ""14"": 0.2, ""15"": 0.2, ""16"": 0.2, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0.4,0,0,0.6,2018-05-02,1.1
dphgkux,39.97163,-83.10098,Columbus,Franklin,Ohio,United States of America,US-OH,4.0067,1.3141,5,0.0169,4.4,6.6,"{""dphgmh8"":0.1994, ""dphgkux"":0.4876, ""dphgmhb"":0.0821, ""dphgkuz"":0.0481, ""dphgmh2"":0.1437, ""dphgkur"":0.0391}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": 0.25, ""08"": null, ""09"": null, ""10"": null, ""11"": 0.25, ""12"": 0.25, ""13"": null, ""14"": 0.25, ""15"": null, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0.4,0,0.2,0.4,2018-05-02,1.1
dphuj4w,40.09252,-83.09185,Columbus,Franklin,Ohio,United States of America,US-OH,2.5533,1.3099,5,0.1923,4.2,6.6,"{""dphuj4q"":0.2986, ""dphuj4r"":0.1465, ""dphuj4x"":0.1226, ""dphuj4y"":0.1293, ""dphuj4w"":0.3031}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": null, ""08"": null, ""09"": null, ""10"": null, ""11"": 0.2, ""12"": 0.2, ""13"": 0.2, ""14"": null, ""15"": null, ""16"": null, ""17"": null, ""18"": null, ""19"": 0.2, ""20"": 0.2, ""21"": null, ""22"": null, ""23"": null}",0,0.2,0.4,0,0,0.4,2018-05-02,1.1
dpj5c5e,40.05389,-82.91985,Columbus,Franklin,Ohio,United States of America,US-OH,5.9033,2.444,5,0.1563,4.8,8,"{""dpj5c57"":0.0333, ""dpj5c5e"":0.2851, ""dpj5c5g"":0.0917, ""dpj5c5u"":0.0771, ""dpj5c5s"":0.2764, ""dpj5c5f"":0.1083, ""dpj5c5d"":0.074, ""dpj5c56"":0.0083, ""dpj5c5k"":0.0458}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": null, ""08"": 0.25, ""09"": null, ""10"": null, ""11"": 0.25, ""12"": 0.25, ""13"": null, ""14"": null, ""15"": null, ""16"": null, ""17"": 0.25, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0.4,0,0.4,0.2,2018-05-02,1.1
dphgk56,39.96435,-83.14112,Columbus,Franklin,Ohio,United States of America,US-OH,1.9567,1.145,5,0.1,4,7.4,"{""dphgk51"":0.1288, ""dphgk54"":0.1952, ""dphgk57"":0.27, ""dphgk56"":0.406}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": 0.2, ""08"": 0.2, ""09"": null, ""10"": 0.2, ""11"": null, ""12"": null, ""13"": 0.4, ""14"": null, ""15"": null, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0.4,0.2,0,0.4,2018-05-02,1.1
dphgr69,39.96032,-82.9999,Columbus,Franklin,Ohio,United States of America,US-OH,6.45,1.9473,5,0.0862,4.4,6.8,"{""dphgr6b"":0.1369, ""dphgr63"":0.0593, ""dphgr69"":0.2528, ""dphgr68"":0.1031, ""dphgr6d"":0.1443, ""dphgr62"":0.0654, ""dphgr6f"":0.2382}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": null, ""08"": null, ""09"": 0.3333, ""10"": null, ""11"": 0.3333, ""12"": null, ""13"": 0.3333, ""14"": null, ""15"": null, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0.2,0.4,0,0.4,0,2018-05-02,1.1
dphgkb3,39.94819,-83.10945,Columbus,Franklin,Ohio,United States of America,US-OH,3.9067,1.5703,5,0.1111,5.8,8.8,"{""dphgkb0"":0.04, ""dphgkb4"":0.0417, ""dphgkb3"":0.2204, ""dphgkb8"":0.4572, ""dphgkb6"":0.0884, ""dphgkb1"":0.1099, ""dphgkb2"":0.0424}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": null, ""08"": null, ""09"": null, ""10"": 0.25, ""11"": 0.25, ""12"": null, ""13"": null, ""14"": null, ""15"": null, ""16"": null, ""17"": null, ""18"": 0.25, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": 0.25}",0,0.4,0.4,0,0,0.2,2018-05-02,1.1
dphgr66,39.95915,-82.99784,Columbus,Franklin,Ohio,United States of America,US-OH,6.3333,2.4527,5,0.1,7,10.6,"{""dphgr69"":0.0448, ""dphgr67"":0.0614, ""dphgr66"":0.151, ""dphgr61"":0.1566, ""dphgr65"":0.1322, ""dphgr6e"":0.0791, ""dphgr63"":0.0566, ""dphgr6d"":0.1515, ""dphgr64"":0.1668}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": null, ""08"": 0.25, ""09"": null, ""10"": null, ""11"": null, ""12"": null, ""13"": 0.25, ""14"": 0.25, ""15"": null, ""16"": null, ""17"": null, ""18"": 0.25, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0.8,0,0,0.2,2018-05-02,1.1
dpj5c5p,40.05174,-82.91418,Columbus,Franklin,Ohio,United States of America,US-OH,8.3933,2.7977,5,0.0338,5,9,"{""dpj5c6b"":0.0488, ""dpj5c5n"":0.3705, ""dpj5c5r"":0.0887, ""dpj5c5q"":0.1318, ""dpj5c4y"":0.0465, ""dpj5c5p"":0.1094, ""dpj5c70"":0.061, ""dpj5c4z"":0.1433}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": 0.2, ""08"": 0.2, ""09"": 0.2, ""10"": 0.2, ""11"": null, ""12"": null, ""13"": 0.2, ""14"": null, ""15"": null, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0.8,0,0,0.2,2018-05-02,1.1
dphup6q,40.09085,-82.99317,Columbus,Franklin,Ohio,United States of America,US-OH,4.1567,2.1748,5,0.119,4.4,8.2,"{""dphup6w"":0.0773, ""dphup6q"":0.3957, ""dphup6m"":0.1211, ""dphup6n"":0.3578, ""dphup6t"":0.0481}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": null, ""08"": 0.3333, ""09"": null, ""10"": 0.3333, ""11"": 0.3333, ""12"": null, ""13"": null, ""14"": null, ""15"": null, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0.8,0,0,0.2,2018-05-02,1.1
